"","x"
"1988-09-06",-390150
"1988-10-04",-416355
"1988-10-11",-407835.000000001
"1988-10-12",-176445.000000001
"1988-10-13",-392730
"1988-10-17",1287100
"1988-10-25",-279990
"1988-11-02",-140490
"1988-11-07",-52296.25
"1988-11-15",2324225
"1988-12-07",-536804.999999997
"1988-12-12",1930700
"1988-12-13",745807.500000002
"1988-12-14",821772.5
"1988-12-15",-371397.5
"1988-12-16",-1322730
"1988-12-30",470250
"1989-01-04",-96250.0000000001
"1989-01-05",220599.999999998
"1989-01-16",-362730
"1989-01-23",513749.999999999
"1989-01-25",-437576.999999999
"1989-02-02",56960.0000000011
"1989-02-16",-1483680
"1989-02-17",-299880.000000001
"1989-02-22",-130249.999999997
"1989-03-02",-426315
"1989-03-03",-664110
"1989-03-13",468629.999999998
"1989-03-14",974379.999999999
"1989-03-31",1689445.00000001
"1989-04-03",-646080.000000001
"1989-04-14",25245
"1989-04-17",319410
"1989-04-18",1146725
"1989-04-24",-632620
"1989-05-02",519240.000000005
"1989-05-05",-750120
"1989-05-15",1926060
"1989-05-22",-750750.000000001
"1989-05-26",1998067.5
"1989-06-02",589930.000000001
"1989-06-05",458849.999999998
"1989-06-06",1202610
"1989-06-13",-454080.000000001
"1989-06-14",-599325
"1989-06-15",481120
"1989-06-16",2358575
"1989-06-19",-385218
"1989-06-21",-595980
"1989-06-22",-443679.999999993
"1989-06-23",1492385
"1989-06-29",462870
"1989-07-05",186445
"1989-07-13",653480.000000002
"1989-07-18",83880.0000000007
"1989-07-26",-205519.999999999
"1989-08-09",573768.75
"1989-08-11",-357115
"1989-08-15",-400680
"1989-09-01",800020
"1989-09-07",269880.000000004
"1989-09-14",116414.999999999
"1989-09-25",-99840
"1989-09-28",294840.000000003
"1989-09-29",-809560
"1989-10-13",-1026932.5
"1989-10-25",77139.9999999962
"1989-10-26",-890208
"1989-10-27",55245.0000000007
"1989-11-10",-372076.000000003
"1989-11-15",1047540
"1989-11-16",335457.5
"1989-11-29",-862290.000000001
"1989-12-04",-807379.999999998
"1989-12-26",-166570
"1989-12-27",-383512.5
"1990-01-02",-146062.499999992
"1990-01-04",-399960
"1990-01-05",320540
"1990-01-08",361970.000000004
"1990-01-10",-533520
"1990-01-18",344239.999999997
"1990-01-26",-793125
"1990-02-12",-1223392.5
"1990-02-13",-808259.999999999
"1990-02-20",1271192
"1990-02-21",-1023060
"1990-02-28",-400159.999999999
"1990-03-01",1149432.5
"1990-03-05",521437.5
"1990-03-06",-87100
"1990-03-09",-637329.999999998
"1990-03-12",8995.00000000073
"1990-03-16",-406725.000000001
"1990-03-27",-559190
"1990-04-04",165409.999999997
"1990-04-20",-663960.000000001
"1990-04-30",-888750
"1990-05-04",-710884.999999986
"1990-05-07",-671174.999999999
"1990-05-11",1283445
"1990-05-14",-693620.000000001
"1990-05-15",94185
"1990-05-17",-65520.0000000009
"1990-05-18",1326530
"1990-05-21",1872200
"1990-05-22",-455830.000000002
"1990-05-24",598544.999999999
"1990-06-20",-444967.5
"1990-06-22",-413230
"1990-07-03",551249.999999999
"1990-07-05",-634725
"1990-07-06",-991707.5
"1990-07-09",1273250
"1990-07-12",-406082.600000004
"1990-07-13",1163250
"1990-08-02",-248820
"1990-08-06",-995107.5
"1990-08-14",-1235080
"1990-08-17",-518000
"1990-08-20",-89279.9999999774
"1990-08-27",2511035.8
"1990-08-31",5217073
"1990-09-05",-422370
"1990-09-06",825240
"1990-09-20",514710
"1990-10-02",1378875
"1990-10-03",-181327.573572884
"1990-10-08",211120
"1990-10-11",-328829.999999998
"1990-10-19",-2054947
"1990-10-22",2177367
"1990-10-23",935479.999999999
"1990-10-26",2953230
"1990-11-12",-377010
"1990-11-28",-309329.999999986
"1990-11-29",214855
"1990-12-03",-701545.000000001
"1990-12-07",927359.999999999
"1990-12-24",66810
"1990-12-28",-883785.000000001
"1990-12-31",1503080
"1991-01-02",-492840.000000002
"1991-01-10",-99100
"1991-01-16",-270940
