,cum_pnl,max_pnl,drawdown
2/19/1998,150639768.3,152699703.5,2059935.253
3/2/1998,149451578.3,152699703.5,3248125.253
3/4/1998,149598318.7,152699703.5,3101384.82
3/19/1998,149577846.1,152699703.5,3121857.451
3/23/1998,149503165.3,152699703.5,3196538.251
3/26/1998,150235645.3,152699703.5,2464058.251
3/30/1998,150327895.3,152699703.5,2371808.251
4/9/1998,152225835.3,152699703.5,473868.2508
4/14/1998,152368315.3,152699703.5,331388.2508
4/23/1998,153316574.5,153316574.5,0
4/24/1998,152863459.8,153316574.5,453114.769
4/27/1998,153815729.8,153815729.8,0
4/28/1998,153507229.8,153815729.8,308500
5/1/1998,152917129.8,153815729.8,898600
5/6/1998,152266722.3,153815729.8,1549007.5
5/13/1998,151400322.3,153815729.8,2415407.5
5/14/1998,150883774.9,153815729.8,2931954.89
5/20/1998,152519974.9,153815729.8,1295754.89
5/27/1998,151951837.4,153815729.8,1863892.39
6/5/1998,152816474.4,153815729.8,999255.3902
6/17/1998,153418131.4,153815729.8,397598.3895
6/19/1998,153139326.4,153815729.8,676403.3895
6/23/1998,154609926.4,154609926.4,0
6/24/1998,154621723.2,154621723.2,0
7/9/1998,155359572.4,155359572.4,0
7/13/1998,154710672.4,155359572.4,648900
7/15/1998,154857452.4,155359572.4,502120
7/16/1998,154890699.9,155359572.4,468872.5
7/17/1998,154520459.9,155359572.4,839112.5
7/21/1998,154655619.9,155359572.4,703952.5
7/28/1998,154445424.9,155359572.4,914147.5
7/29/1998,154425256.3,155359572.4,934316.0975
7/31/1998,154812706.3,155359572.4,546866.0975
8/19/1998,154576743.2,155359572.4,782829.2309
8/27/1998,153732003.2,155359572.4,1627569.231
8/31/1998,152932848.2,155359572.4,2426724.231
9/1/1998,156188828.2,156188828.2,0
9/3/1998,155745872,156188828.2,442956.2
9/10/1998,155954802,156188828.2,234026.2
9/21/1998,156875749.5,156875749.5,0
9/28/1998,157875944.5,157875944.5,0
10/7/1998,159451464.5,159451464.5,0
10/8/1998,162267734.5,162267734.5,0
10/9/1998,162339087.9,162339087.9,0
10/12/1998,161562437.9,162339087.9,776650
10/15/1998,160990787.9,162339087.9,1348300
10/16/1998,161181223,162339087.9,1157864.891
10/20/1998,160428987,162339087.9,1910100.89
10/21/1998,160532082,162339087.9,1807005.89
10/26/1998,160105057,162339087.9,2234030.89
11/2/1998,165397404.5,165397404.5,0
11/4/1998,165563268.3,165563268.3,0
11/9/1998,165003288.3,165563268.3,559980
11/18/1998,164035608.3,165563268.3,1527660
11/19/1998,163750788.3,165563268.3,1812480
12/4/1998,163187028.3,165563268.3,2376240
12/9/1998,162640678.3,165563268.3,2922590
12/16/1998,161996164.3,165563268.3,3567104
12/29/1998,162436464.3,165563268.3,3126804
1/4/1999,161773384.3,165563268.3,3789884
1/6/1999,161486371.8,165563268.3,4076896.5
1/7/1999,160385760.6,165563268.3,5177507.7
1/13/1999,160258163.1,165563268.3,5305105.2
1/14/1999,160296703.1,165563268.3,5266565.2
1/25/1999,161475014.9,165563268.3,4088253.347
1/28/1999,162848413.9,165563268.3,2714854.347
2/4/1999,162835836.1,165563268.3,2727432.185
2/8/1999,163521853.6,165563268.3,2041414.685
2/9/1999,164591244,165563268.3,972024.3351
2/24/1999,163721004,165563268.3,1842264.335
2/25/1999,163978873.6,165563268.3,1584394.735
3/1/1999,162428522.8,165563268.3,3134745.453
3/3/1999,161727038.2,165563268.3,3836230.088
3/4/1999,161063038.2,165563268.3,4500230.088
3/5/1999,162126588.2,165563268.3,3436680.088
3/8/1999,161235858.2,165563268.3,4327410.088
3/9/1999,160664593.2,165563268.3,4898675.088
3/10/1999,162592880.7,165563268.3,2970387.588
3/12/1999,162477080.7,165563268.3,3086187.588
3/16/1999,163238595.7,165563268.3,2324672.588
3/23/1999,162971455.7,165563268.3,2591812.588
4/6/1999,163384675.7,165563268.3,2178592.588
4/13/1999,162898532.6,165563268.3,2664735.699
4/19/1999,162140892.6,165563268.3,3422375.699
4/23/1999,162578872.6,165563268.3,2984395.699
4/29/1999,162375812.6,165563268.3,3187455.699
5/4/1999,161667472.6,165563268.3,3895795.699
5/17/1999,161670768.8,165563268.3,3892499.514
5/18/1999,161324965,165563268.3,4238303.314
5/24/1999,160883167.5,165563268.3,4680100.814
5/25/1999,159874787.5,165563268.3,5688480.814
5/26/1999,160144067.5,165563268.3,5419200.814
5/27/1999,159780407.5,165563268.3,5782860.814
6/1/1999,159843730.5,165563268.3,5719537.758
6/3/1999,159566485.5,165563268.3,5996782.758
6/11/1999,159660730.5,165563268.3,5902537.758
6/15/1999,159649350.5,165563268.3,5913917.758
6/21/1999,159158310.5,165563268.3,6404957.758
7/12/1999,159636040.5,165563268.3,5927227.758
7/19/1999,160137003,165563268.3,5426265.258
7/20/1999,159603723,165563268.3,5959545.258
7/21/1999,161298913,165563268.3,4264355.258
7/22/1999,161463889.9,165563268.3,4099378.436
7/23/1999,161504479.9,165563268.3,4058788.436
7/26/1999,161513929.9,165563268.3,4049338.436
7/27/1999,163563977.9,165563268.3,1999290.436
7/30/1999,164462037.9,165563268.3,1101230.436
8/2/1999,163748137.9,165563268.3,1815130.436
8/12/1999,165073657.9,165563268.3,489610.4355
8/13/1999,165422244.4,165563268.3,141023.9302
8/19/1999,166415222.9,166415222.9,0
8/24/1999,165746767.3,166415222.9,668455.625
8/31/1999,165962047.3,166415222.9,453175.625
